index,imf_0,imf_1,imf_2,imf_3,imf_4,imf_5,residue
58,0.63409676,-0.13202088,-0.42449837,-0.09771922,0.66090639,0.36744989,103.51947273
59,-0.32838125,-0.39041075,-0.46484298,0.01617048,0.71575007,0.35099411,103.51951353
60,-0.15985126,-0.58687847,-0.45667885,0.13492157,0.76958907,0.33429124,103.51955475
61,-0.24925106,-0.57310990,-0.39488085,0.25739256,0.82229390,0.31734655,103.51959638
62,-0.10278182,-0.37143361,-0.28237723,0.38240874,0.87373503,0.30016528,103.51963843
63,0.46241843,-0.12493970,-0.12820959,0.50878298,0.92378298,0.28275271,103.51968089
64,-0.19866393,0.03647333,0.05425596,0.63533423,0.97230822,0.26511408,103.51972378
65,0.63274015,0.08860184,0.24732895,0.76088117,1.01918126,0.24725465,103.51976708
66,-0.49322008,0.13237033,0.43142099,0.88423337,1.06427259,0.22917968,103.51981080
67,-0.64158267,0.31569039,0.58789516,1.00419811,1.10745272,0.21089442,103.51985493
68,0.13483236,0.61376440,0.70137793,1.11958248,1.14859213,0.19240412,103.51989949
69,0.51151368,0.81270385,0.76217195,1.22919245,1.18756134,0.17371403,103.51994447
70,0.01769756,0.74107919,0.76808165,1.33183411,1.22423085,0.15482940,103.51998986
71,-0.06212428,0.42149827,0.72836873,1.42633110,1.25847116,0.13575547,103.52003568
72,-0.16187703,0.00450472,0.66023067,1.51157856,1.29015282,0.11649747,103.52008193
73,0.36303357,-0.36268341,0.58451919,1.58656074,1.31914664,0.09706058,103.52012859
74,-0.76104145,-0.57254503,0.52216701,1.65033560,1.34532465,0.07744996,103.52017568
75,0.32699784,-0.57141507,0.49140447,1.70212469,1.36856032,0.05767071,103.52022319
76,0.10318153,-0.43764484,0.50302879,1.74128712,1.38873362,0.03772778,103.52027113
77,-0.06876033,-0.27245018,0.55915296,1.76738082,1.40573535,0.01762603,103.52031949
78,-0.07111295,-0.11758753,0.65380996,1.78013556,1.41947314,-0.00262980,103.52036827
79,0.13511426,0.01043436,0.77488199,1.77943524,1.42989297,-0.02303511,103.52041749
80,-0.08924536,0.10356366,0.90455910,1.76523175,1.43697722,-0.04358539,103.52046713
81,0.28248561,0.16152387,1.02177347,1.73752560,1.44074612,-0.06427617,103.52051720
82,-0.27081022,0.21771619,1.10614382,1.69641124,1.44123996,-0.08510305,103.52056770
83,-0.18989926,0.31479596,1.14294015,1.64218051,1.43850806,-0.10606162,103.52061862
84,0.42233575,0.40784536,1.12406103,1.57534501,1.43260352,-0.12714750,103.52066998
85,-0.10355341,0.40998643,1.04791963,1.49662955,1.42358027,-0.14835628,103.52072177
86,0.10564833,0.32683352,0.92179093,1.40692107,1.41149324,-0.16968358,103.52077398
87,-0.14429974,0.21982338,0.75898217,1.30719170,1.39639758,-0.19112500,103.52082663
88,-0.01763534,0.09861098,0.57870495,1.19844256,1.37834844,-0.21267614,103.52087971
89,0.32889790,-0.11359507,0.40304141,1.08168436,1.35740099,-0.23433262,103.52093323
90,0.12774096,-0.44621146,0.25331432,0.95793138,1.33361036,-0.25609004,103.52098717
91,-0.26080351,-0.74862579,0.14826487,0.82816917,1.30703173,-0.27794400,103.52104156
92,-0.12027793,-0.80927097,0.10203920,0.69336581,1.27772025,-0.29989012,103.52109637
