imf,energy,energy_pct,mean,std,min,max
imf_0,318.7538,0.00,0.003239,0.394501,-2.482136,2.646187
imf_1,1056.8475,0.01,-0.020837,0.718056,-5.328946,2.799545
imf_2,12402.8855,0.15,0.353657,2.435369,-3.856049,16.278156
imf_3,15515.9653,0.19,0.681708,2.666726,-6.455614,6.749276
imf_4,554737.6064,6.71,-5.803737,15.400799,-40.943122,11.647332
residue,7679605.0429,92.93,55.994627,24.787273,28.218127,100.009132
