imf,energy,energy_pct,mean,std,min,max
imf_0,2176.3762,0.01,0.013152,1.030782,-4.113256,4.852187
imf_1,3861.5671,0.02,-0.013792,1.373077,-4.896478,8.386479
imf_2,19198.3128,0.08,0.204323,3.054902,-11.553654,11.229430
imf_3,72016.1225,0.29,0.686111,5.890108,-15.782794,14.681437
imf_4,248163.9601,1.00,1.321938,10.928234,-12.756792,38.356846
imf_5,94654.0360,0.38,1.976453,6.504723,-8.837638,19.662152
imf_6,32334.8204,0.13,0.457581,3.947038,-7.530510,6.239877
imf_7,129695.0444,0.52,5.451841,5.796990,-0.883490,16.283707
residue,24331907.9559,97.59,107.567861,17.605955,86.748178,132.080534
